Air Trajectory,B/C,0.1.0,08/25/2024,,ready
Helicopter,B,0.1.0,08/25/2024,,
Helicopter,C,0.1.0,08/25/2024,,
Mission Possible,B,0.1.0,08/25/2024,,
Optics,B/C,0.1.0,08/25/2024,,
Scrambler,B,0.1.0,08/25/2024,,
Tower,B/C,0.1.0,08/25/2024,,ready
Wind Power,B/C,0.1.0,08/25/2024,,
Aerial Scramble,B/C,0.1.0,08/25/2024,,
Engineering CAD,B/C,0.1.0,08/25/2024,,ready
Hovercraft,B/C,0.1.0,08/25/2024,,
Bungee Drop,C,0.1.0,08/25/2024,,
Electric Vehicle,C,0.1.0,08/25/2024,,
Robot Tour,C,0.1.0,08/25/2024,,
